epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9607,2.47636,4.1536,2.47445,0.00545,0.33701,0.01308,0.00518,2.43074,4.66804,2.70834,0.00022,0.00022,0.00022
2,56.9039,2.26729,3.89611,2.237,0.0047,0.32917,0.00595,0.00175,2.47601,4.62958,2.60976,0.00044109,0.00044109,0.00044109
3,79.808,2.12709,3.75844,2.20749,0.00311,0.37377,0.00584,0.00196,2.26241,4.44713,2.62027,0.000653072,0.000653072,0.000653072
4,107.352,2.13611,3.68825,2.1916,0.00317,0.44436,0.00677,0.00238,2.30849,4.49385,2.8069,0.000855946,0.000855946,0.000855946
5,133.613,2.05645,3.65103,2.11848,0.75529,0.01471,0.00708,0.00287,2.20319,4.31472,2.6683,0.0009208,0.0009208,0.0009208
6,165.874,1.98425,3.59254,2.09688,0.28744,0.06397,0.01157,0.00282,2.56188,4.53579,2.68449,0.000901,0.000901,0.000901
7,199.477,1.96748,3.6271,2.07846,0.26071,0.05147,0.01383,0.00424,2.18444,4.15208,2.51134,0.0008812,0.0008812,0.0008812
8,234.025,1.94557,3.47676,2.04573,0.26162,0.02941,0.00855,0.00211,2.4691,4.32825,2.66867,0.0008614,0.0008614,0.0008614
9,267.922,1.92545,3.49641,2.02589,0.79919,0.0098,0.0109,0.00352,2.11674,4.93496,2.36493,0.0008416,0.0008416,0.0008416
10,301.408,1.90592,3.51667,2.00948,0.75737,0.02941,0.0077,0.00299,2.11794,4.36125,2.33548,0.0008218,0.0008218,0.0008218
11,335.001,1.9085,3.44806,2.03428,0.50684,0.01471,0.00564,0.00152,2.42985,4.19492,2.61623,0.000802,0.000802,0.000802
12,371.799,1.78634,3.37655,1.93305,0.53427,0.0098,0.01179,0.0038,2.04802,4.16414,2.25745,0.0007822,0.0007822,0.0007822
13,411.403,1.8172,3.38695,1.94192,0.54944,0.0278,0.01508,0.00654,1.98677,3.8226,2.21765,0.0007624,0.0007624,0.0007624
14,451.814,1.80231,3.34503,1.9541,0.53661,0.03676,0.02954,0.01367,1.88366,3.6262,2.1351,0.0007426,0.0007426,0.0007426
15,488.609,1.757,3.33123,1.90714,0.52343,0.02941,0.01478,0.00669,1.90426,3.88402,2.12692,0.0007228,0.0007228,0.0007228
16,526.354,1.76339,3.37144,1.93442,0.77549,0.01716,0.0162,0.00738,1.85416,3.85555,2.12952,0.000703,0.000703,0.000703
17,565.838,1.71412,3.27854,1.87615,0.7778,0.01961,0.01181,0.00519,1.89779,3.7387,2.16234,0.0006832,0.0006832,0.0006832
18,603.63,1.73813,3.26286,1.88973,0.53095,0.02206,0.02018,0.00749,1.92759,3.79813,2.19743,0.0006634,0.0006634,0.0006634
19,643.816,1.68872,3.18177,1.86953,0.52038,0.02206,0.01436,0.00561,1.95229,3.61758,2.13582,0.0006436,0.0006436,0.0006436
20,683.137,1.66419,3.15214,1.8567,0.51586,0.03922,0.01573,0.00629,1.88259,3.69259,2.08189,0.0006238,0.0006238,0.0006238
21,721.968,1.68604,3.1664,1.8481,0.27016,0.03186,0.01348,0.00605,1.83678,3.50854,2.06212,0.000604,0.000604,0.000604
22,761.812,1.64263,3.19081,1.83337,0.02037,0.03922,0.01822,0.00871,1.75866,3.58437,2.02125,0.0005842,0.0005842,0.0005842
23,802.485,1.62798,3.14591,1.81659,0.28005,0.02451,0.01604,0.00771,1.7546,3.49176,2.01325,0.0005644,0.0005644,0.0005644
24,844.267,1.65304,3.10267,1.84068,0.78661,0.02696,0.01719,0.00705,1.81393,3.43166,2.0476,0.0005446,0.0005446,0.0005446
